comparison,joint,name,mae,rmse,p95_abs,max_abs,signed_mean,best_fit_lag_frames_reference_only,best_fit_lag_rmse_reference_only,worst_frame,worst_timestamp_sec
episode_state_vs_replay_actual,j1,pinky,0.630228500249034,1.7051320016541505,3.2850063959373617,17.00000520464242,0.1417503526008171,-1,1.5604533507837035,202,6.733333110809326
episode_state_vs_replay_actual,j2,ring,0.5733492378162629,1.6089287996495831,2.869994068762353,14.99998929916238,-0.01840285854467952,-1,1.5184984609462526,186,6.199999809265137
episode_state_vs_replay_actual,j3,middle,3.772806270524293,10.717664239649318,27.370014385965305,54.000013035150545,2.791483517629975,13,5.686987691421759,187,6.233333110809326
episode_state_vs_replay_actual,j4,index,0.7475385126011364,1.731027068904059,2.5999658028856913,15.70003419711432,-0.15248489419510955,-1,1.632072486857488,181,6.0333333015441895
episode_state_vs_replay_actual,j5,thumb_bend,9.221202844855725e-06,9.221202844855725e-06,9.221202844855725e-06,9.221202844855725e-06,9.221202844855725e-06,-6,9.221202844855723e-06,0,0.0
episode_post_clamp_action_vs_replay_actual,j1,pinky,2.874556134803115,8.985428358401313,21.599999999999994,51.331862549828614,2.30433538860689,11,2.5386952297060645,191,6.366666793823242
episode_post_clamp_action_vs_replay_actual,j2,ring,3.2583795078871556,10.445893977890083,21.099999999999994,64.70528292037854,2.4353235475712496,12,3.6010777146941253,175,5.833333492279053
episode_post_clamp_action_vs_replay_actual,j3,middle,6.402666030672342,17.493392694110774,50.264196074155585,71.69999999999999,4.887030213412625,24,7.005535781843634,175,5.833333492279053
episode_post_clamp_action_vs_replay_actual,j4,index,3.5526895908980185,10.586914237922338,22.900000000000006,65.59632942167734,2.086812116202542,12,3.921472223854415,175,5.833333492279053
episode_post_clamp_action_vs_replay_actual,j5,thumb_bend,0.09999999999999432,0.09999999999999434,0.09999999999999432,0.09999999999999432,-0.09999999999999432,-28,0.09999999999999433,0,0.0
replay_post_clamp_target_vs_replay_actual,j1,pinky,10.412957121774742,13.011390123749601,29.16316481818483,51.33186254982863,3.745955635839082,11,9.185942742438582,191,6.366666793823242
replay_post_clamp_target_vs_replay_actual,j2,ring,10.619675664280496,14.712906096039665,31.100023009725135,66.20002300972513,4.977820909511921,13,9.49042955950028,177,5.900000095367432
replay_post_clamp_target_vs_replay_actual,j3,middle,13.75176019783708,21.819167157620885,54.600023009725135,81.60002300972513,7.6535410908622055,25,11.548571260336152,176,5.866666793823242
replay_post_clamp_target_vs_replay_actual,j4,index,10.954555846286487,15.221727328645818,32.23309326181214,67.90002300972515,4.603311674758132,12,10.145694979734333,176,5.866666793823242
replay_post_clamp_target_vs_replay_actual,j5,thumb_bend,6.146464226564945,6.6246687049258846,10.182548012449551,11.209394378516095,-6.146464226564945,27,6.616643865303742,195,6.5
